gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,tenure_group,Log_TotalCharges,Log_MonthlyCharges,Monthly_to_Total_Ratio,total_services,streaming_services,is_auto_pay
Male,0,1,0,58,1,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,0,Credit card (automatic),100.35,5681.1,0,49-72,8.645076161696084,4.618579872898009,0.017660724028088205,5,2,1
Male,0,0,0,49,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,1,Bank transfer (automatic),103.7,5036.3,1,49-72,8.524625503233533,4.651099117876491,0.020586425267504416,6,2,1
Male,0,0,0,25,1,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,1,Electronic check,105.5,2686.05,0,25-48,7.8961992165555,4.66814498514948,0.03926238812080162,6,2,0
Female,0,1,1,69,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,0,Credit card (automatic),113.25,7895.15,0,49-72,8.974130577893364,4.738389029774314,0.014342432704545887,8,2,1
Female,0,0,0,52,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Mailed check,20.65,1022.95,0,49-72,6.931422976282321,3.075005454448499,0.020167000341813564,1,0,0
Male,0,0,1,71,1,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,0,Bank transfer (automatic),106.7,7382.25,0,49-72,8.906969200059761,4.679349584162343,0.01445163037957539,6,2,1
Female,0,1,1,10,1,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,0,Credit card (automatic),55.2,528.35,1,0-12,6.271649838789389,4.028916756899646,0.10427883253046188,3,0,1
Female,0,0,0,21,1,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,1,Electronic check,90.05,1862.9,0,13-24,7.530426345737758,4.511408806173617,0.04831267771876173,4,1,0
Male,1,0,0,1,0,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,1,Electronic check,39.65,39.65,1,0-12,3.7049988359938197,3.7049988359938197,0.97539975399754,2,1,0
Male,0,1,0,12,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Bank transfer (automatic),19.8,202.25,0,0-12,5.31443674842792,3.0349529867072724,0.0974169741697417,1,0,1
Male,0,0,0,1,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,20.15,20.15,1,0-12,3.0516399054922867,3.0516399054922867,0.9527186761229315,1,0,0
Female,0,1,0,58,1,Yes,DSL,No,Yes,No,Yes,No,No,Two year,1,Credit card (automatic),59.9,3505.1,0,49-72,8.16225958760722,4.109233174715851,0.017084509854254016,4,0,1
Male,0,1,1,49,1,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,0,Credit card (automatic),59.6,2970.3,0,49-72,7.996754846467186,4.104294893075269,0.020058560226163633,4,0,1
Female,0,0,0,30,1,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,1,Bank transfer (automatic),55.3,1530.6,0,25-48,7.3340682196031395,4.030694535145645,0.03610603290676417,3,0,1
Male,0,1,1,47,1,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,1,Electronic check,99.35,4749.15,1,25-48,8.46593147547745,4.608664075242347,0.020915128995926444,5,2,0
Male,0,1,1,1,0,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,0,Electronic check,30.2,30.2,1,0-12,3.4404180948154366,3.4404180948154366,0.967948717948718,1,0,0
Male,0,1,0,72,1,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Credit card (automatic),90.25,6369.45,0,49-72,8.759425389713137,4.513602992462601,0.014166974075614753,8,2,1
Female,0,0,1,17,1,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,1,Mailed check,64.7,1093.1,1,13-24,6.9976873864827445,4.185098925490565,0.05913536239831826,3,2,0
Female,1,1,0,71,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,1,Credit card (automatic),96.35,6766.95,0,49-72,8.819953513551914,4.578312731818208,0.014236216284103754,6,0,1
Male,1,1,0,2,1,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Credit card (automatic),95.5,181.65,0,0-12,5.207571753241291,4.56954300834494,0.5228579249931563,4,2,1
Female,0,1,1,27,1,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,0,Mailed check,66.15,1874.45,0,25-48,7.536603909609118,4.206928922969246,0.03527153483164041,5,0,0
Male,0,0,0,1,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Bank transfer (automatic),20.2,20.2,0,0-12,3.054001181677967,3.054001181677967,0.9528301886792453,1,0,1
Male,1,0,0,1,1,No,DSL,No,No,No,No,No,No,Month-to-month,0,Bank transfer (automatic),45.25,45.25,0,0-12,3.834061463958434,3.834061463958434,0.9783783783783784,1,0,1
Female,0,1,1,72,1,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,0,Bank transfer (automatic),99.9,7251.7,0,49-72,8.88912909231302,4.6141299273595635,0.013774180649964841,6,1,1
Male,0,0,0,5,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,69.7,316.9,1,0-12,5.761736867916757,4.258445572902527,0.21925133689839574,1,0,0
Female,0,0,0,46,1,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,1,Credit card (automatic),74.8,3548.3,0,25-48,8.174505679927726,4.328098292648326,0.021074578085819737,2,0,1
Male,0,0,0,34,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,106.35,3549.25,1,25-48,8.174773302525123,4.67609452432479,0.02995563692697697,6,2,0
Female,0,0,0,11,1,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Bank transfer (automatic),97.85,1105.4,1,0-12,7.008866780350549,4.593603549616626,0.08843998553868401,5,2,1
Male,0,1,1,10,1,No,DSL,No,Yes,No,No,No,No,One year,0,Mailed check,49.55,475.7,0,0-12,6.16688736221078,3.9229629454664803,0.1039437801552339,2,0,0
Female,0,1,1,70,1,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,1,Credit card (automatic),69.2,4872.35,0,49-72,8.491536864602452,4.251348311031766,0.01419967783967907,5,1,1
Female,0,1,1,17,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Mailed check,20.75,418.25,0,13-24,6.038467400703318,3.079613757534693,0.04949314251639833,1,0,0
Female,0,0,0,63,1,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,1,Credit card (automatic),79.85,4861.45,0,49-72,8.489297705097483,4.392595586023115,0.016421762691647215,7,1,1
Female,0,1,0,13,1,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,1,Electronic check,76.2,981.45,0,13-24,6.890049451863205,4.3463994570307305,0.07756119904320831,6,1,0
Female,0,0,0,49,1,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,1,Electronic check,84.5,3906.7,0,49-72,8.270704244607035,4.448516375942715,0.021623973181155155,3,1,0
Male,0,0,0,2,1,No,DSL,No,Yes,No,No,No,No,Month-to-month,0,Mailed check,49.25,97.0,0,0-12,4.584967478670572,3.917010546939185,0.5025510204081632,2,0,0
Female,0,0,0,2,1,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,1,Electronic check,80.65,144.15,1,0-12,4.977767690470639,4.402441819416474,0.555632104719256,2,1,0
Male,0,0,0,52,1,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,1,Credit card (automatic),79.75,4217.8,0,49-72,8.347306006402459,4.391357962102766,0.01890347966246326,6,2,1
Female,0,1,1,69,1,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,1,Credit card (automatic),64.15,4254.1,0,49-72,8.355873542493944,4.176692303570854,0.015076026415360391,5,0,1
Female,1,0,0,43,1,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,1,Electronic check,90.25,3838.75,0,25-48,8.253162539295738,4.513602992462601,0.023504134383748942,4,1,0
Female,0,0,0,15,1,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,1,Credit card (automatic),99.1,1426.4,1,13-24,7.263609886536967,4.6061696863211745,0.06942693008266777,5,2,1
Female,1,1,0,25,1,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,1,Credit card (automatic),69.5,1752.65,0,25-48,7.4694546091209375,4.255612709818223,0.039631625466883355,5,1,1
Female,1,1,0,8,1,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,1,Credit card (automatic),80.65,633.3,1,0-12,6.4525220286398515,4.402441819416474,0.12714803720636925,3,0,1
Female,1,1,1,60,1,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,1,Credit card (automatic),74.85,4456.35,0,49-72,8.402309698021336,4.328757705794541,0.01679248881061617,6,1,1
Male,1,0,0,18,1,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,Electronic check,95.45,1752.55,1,13-24,7.4693975835734765,4.569024739351738,0.05443243705625731,4,2,0
Female,0,1,1,63,1,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,1,Credit card (automatic),99.65,6311.2,0,49-72,8.750239547701803,4.611649152085801,0.01578688888184785,5,2,1
Male,1,1,1,66,1,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,1,Electronic check,108.45,7076.35,0,49-72,8.864654822837052,4.695467823968872,0.0153235321130084,7,2,0
Female,0,1,1,34,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),24.95,894.3,0,25-48,6.7971588576401105,3.2561716096118976,0.02786775382553334,2,0,1
Female,0,0,0,72,1,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,1,Credit card (automatic),107.5,7853.7,0,49-72,8.968867357726134,4.686750172980514,0.013686073306428,6,2,1
Female,0,1,0,47,1,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,100.5,4707.1,0,25-48,8.457039708596394,4.620058798481842,0.021346190607676133,5,2,0
Male,0,0,0,60,1,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,1,Bank transfer (automatic),89.9,5450.7,0,49-72,8.603682765623805,4.509760001183433,0.01649026909037548,4,1,1
Male,0,1,0,72,0,No phone service,DSL,Yes,Yes,Yes,No,No,No,Two year,0,Bank transfer (automatic),42.1,2962.0,0,49-72,7.993957547573565,3.763522997109702,0.01420857239284509,3,0,1
Female,0,1,1,18,1,No,DSL,No,No,Yes,Yes,No,No,One year,1,Credit card (automatic),54.4,957.1,0,13-24,6.864952156656828,4.014579593753238,0.056779041853668714,3,0,1
Female,0,0,0,9,1,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,0,Electronic check,94.4,857.25,1,0-12,6.754895432337801,4.558078578454241,0.10999126128750365,4,2,0
Female,0,0,0,3,1,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,1,Electronic check,75.3,244.1,0,0-12,5.501666290534067,4.334672938290411,0.3072215422276622,5,2,0
Male,0,1,0,47,1,Yes,Fiber optic,No,Yes,No,No,No,No,One year,1,Electronic check,78.9,3650.35,0,25-48,8.202852241207772,4.380775852772229,0.02160844619113479,3,0,0
Female,0,0,0,31,1,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,0,Mailed check,79.2,2497.2,0,25-48,7.823325751531809,4.384523514872469,0.03170282603474502,6,2,0
Female,0,1,1,50,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Bank transfer (automatic),20.15,930.9,0,49-72,6.83722551279161,3.0516399054922867,0.021622491683657045,1,0,1
Male,0,0,0,10,1,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,1,Mailed check,79.85,887.35,0,0-12,6.789365809481915,4.392595586023115,0.08988574323183429,3,0,0
Male,0,0,0,1,1,No,DSL,No,No,No,Yes,No,No,Month-to-month,0,Mailed check,49.05,49.05,0,0-12,3.9130225057612296,3.9130225057612296,0.98001998001998,2,0,0
Female,0,1,1,52,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Electronic check,20.4,1090.65,0,49-72,6.995445592109125,3.0633909220278057,0.01868730820317867,1,0,0
Male,1,1,1,64,1,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),111.6,7099.0,0,49-72,8.867850063029406,4.72384171570559,0.015718309859154928,7,2,1
Male,0,1,1,62,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Bank transfer (automatic),24.25,1424.6,0,49-72,7.262348056716545,3.228826155721369,0.01701038159371493,2,0,1
Female,0,0,1,3,1,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,1,Bank transfer (automatic),64.5,177.4,0,0-12,5.184028220145909,4.182050142641207,0.3615470852017937,4,1,1
Female,1,0,0,56,1,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,0,Electronic check,110.5,6139.5,0,49-72,8.722661451050438,4.7140245909001735,0.017995277257552317,7,2,0
Female,0,0,0,46,1,No,DSL,No,No,No,No,No,Yes,One year,0,Credit card (automatic),55.65,2688.85,0,25-48,7.8972407089593375,4.036891987474015,0.02068888599736045,2,1,1
Female,0,1,1,8,1,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,0,Mailed check,54.65,482.25,0,0-12,6.18053411808844,4.019082077721554,0.11308846352819452,3,0,0
Male,1,0,0,30,1,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,1,Electronic check,74.75,2111.3,0,25-48,7.655532680193197,4.327438444389479,0.03538796572456564,5,2,0
Female,0,1,1,45,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Credit card (automatic),25.9,1216.6,0,25-48,7.104636987107422,3.292126286607793,0.021271353482260183,2,0,1
Female,0,0,1,1,1,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,1,Electronic check,79.35,79.35,1,0-12,4.386392092183521,4.386392092183521,0.9875544492843809,2,1,0
Female,0,1,1,11,0,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,0,Electronic check,50.55,565.35,0,0-12,6.339212261646723,3.942552210462969,0.0892557605720844,3,2,0
Female,0,1,0,7,1,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,1,Bank transfer (automatic),75.15,496.9,1,0-12,6.210399253648137,4.332705079341171,0.15093392247439247,2,0,1
Female,0,0,0,42,1,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,1,Bank transfer (automatic),103.8,4327.5,0,25-48,8.372976340655828,4.6520537718869415,0.02398059373917061,6,2,1
Female,0,1,0,49,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Bank transfer (automatic),20.15,973.35,0,49-72,6.881770582010144,3.0516399054922867,0.02068045363575717,1,0,1
Male,0,0,0,9,1,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,1,Credit card (automatic),99.3,918.75,0,0-12,6.824101893984884,4.60816569496789,0.10796412068496875,5,2,1
Female,0,1,0,35,1,No,DSL,Yes,No,No,No,Yes,No,One year,1,Bank transfer (automatic),62.15,2215.45,0,25-48,7.703662095843597,4.1455128487965,0.028040334769563944,3,1,1
Female,0,1,1,48,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Bank transfer (automatic),20.65,1057.0,0,25-48,6.964135612418245,3.075005454448499,0.0195179584120983,1,0,1
Female,0,1,1,46,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Mailed check,19.95,927.1,0,25-48,6.833139485601347,3.0421386463681466,0.02149552849908415,1,0,0
Male,0,1,0,29,0,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,0,Mailed check,33.75,1009.25,0,25-48,6.917953103958583,3.548179572010801,0.0334075723830735,1,1,0
Male,0,1,1,30,1,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,0,Bank transfer (automatic),82.05,2570.2,0,25-48,7.852127994983248,4.419442836059304,0.031911169881767266,3,0,1
Male,1,0,0,1,1,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,0,Electronic check,74.7,74.7,0,0-12,4.3267781604434035,4.3267781604434035,0.9867899603698811,2,0,0
Male,0,1,1,66,1,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,1,Mailed check,84.0,5714.25,0,49-72,8.65089331980408,4.442651256490317,0.014697519793534841,7,2,0
Female,0,0,0,65,1,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,1,Credit card (automatic),111.05,7107.0,0,49-72,8.868976189274543,4.718945200246936,0.015623241418120427,7,2,1
Male,0,0,0,72,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,1,Bank transfer (automatic),100.9,7459.05,0,49-72,8.917317395588213,4.623991940228679,0.013525378516229784,6,2,1
Female,0,0,0,12,1,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,1,Electronic check,78.95,927.35,1,0-12,6.83340881685348,4.381401439279963,0.0850433564927021,3,0,0
Male,0,1,1,71,1,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,1,Credit card (automatic),66.85,4748.7,0,49-72,8.465836737139407,4.217299386280878,0.014074573130934584,5,0,1
Male,0,0,0,5,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,21.05,113.85,1,0-12,4.743626929135107,3.093312601892855,0.18328254244666958,1,0,0
Male,0,0,0,52,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Bank transfer (automatic),21.0,1107.2,0,49-72,7.010492356433249,3.091042453358316,0.018949648077964266,1,0,1
Female,1,1,0,25,1,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,98.5,2514.5,1,25-48,7.830226869931373,4.600157644164547,0.03915722520373683,5,2,0
Male,0,0,0,1,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,20.2,20.2,0,0-12,3.054001181677967,3.054001181677967,0.9528301886792453,1,0,0
Female,0,1,1,1,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Electronic check,19.45,19.45,0,0-12,3.017982882488811,3.017982882488811,0.9511002444987775,1,0,0
Male,0,0,0,38,1,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,One year,0,Bank transfer (automatic),95.0,3605.6,0,25-48,8.190520779273172,4.564348191467836,0.026340597792935176,5,1,1
Female,1,1,0,66,0,No phone service,DSL,No,Yes,Yes,No,Yes,No,One year,0,Bank transfer (automatic),45.55,3027.25,0,49-72,8.015740173896912,3.840527003723076,0.015041690745480061,3,1,1
Male,0,1,0,68,1,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),110.0,7611.85,1,49-72,8.937592887972736,4.709530201312334,0.014449253564696531,7,2,1
Male,0,0,0,5,0,No phone service,DSL,No,No,No,No,No,No,Month-to-month,0,Mailed check,24.3,100.2,0,0-12,4.617098756853365,3.2308043957334744,0.24011857707509882,0,0,0
Female,0,1,1,72,1,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,1,Electronic check,104.15,7303.05,0,49-72,8.896184267815448,4.655387902148709,0.014259212354789467,6,2,0
Female,0,0,0,32,0,No phone service,DSL,Yes,No,No,No,No,No,One year,0,Mailed check,30.15,927.65,0,25-48,6.833731918633351,3.4388142452334622,0.0324664836052334,1,0,0
Male,0,0,0,43,1,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,0,Mailed check,94.35,3921.3,0,25-48,8.274433495416885,4.557554332046428,0.024054763786553805,4,2,0
Male,0,1,1,72,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),19.4,1363.25,0,49-72,7.218360106066341,3.0155349008501706,0.014220267546270845,1,0,1
Male,0,1,0,55,1,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,1,Electronic check,96.75,5238.9,1,49-72,8.564057693163521,4.582413198865475,0.018464092826198975,5,1,0
Female,0,0,0,52,1,No,DSL,Yes,No,Yes,Yes,No,No,One year,0,Credit card (automatic),57.95,3042.25,0,49-72,8.020681302289706,4.07668962698338,0.019042142446397767,4,0,1
Female,0,0,0,43,1,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,1,Electronic check,91.65,3954.1,0,25-48,8.282761164332172,4.528828952731369,0.02317261257616748,4,1,0
Female,1,1,0,37,1,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,76.5,2868.15,1,25-48,7.961771097640099,4.350277936359301,0.026662948957008173,2,0,0
Female,0,1,1,64,0,No phone service,DSL,No,Yes,No,Yes,Yes,Yes,Two year,1,Electronic check,54.6,3423.5,0,49-72,8.13871075463796,4.018183201256536,0.015943933420937365,4,2,0
Male,0,1,1,3,1,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,0,Electronic check,89.85,248.4,0,0-12,5.519058033245936,4.50920979484218,0.3602646351242983,4,1,0
Female,0,0,0,36,0,No phone service,DSL,Yes,No,No,No,No,No,Two year,0,Bank transfer (automatic),31.05,1126.35,0,25-48,7.027625024832521,3.467297183366679,0.02754246684703065,1,0,1
Female,0,1,1,10,1,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,1,Electronic check,100.25,1064.65,1,0-12,6.971340220607248,4.617592705986649,0.09407403931872566,5,2,0
Female,0,0,0,41,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,20.65,835.15,0,25-48,6.728808022827132,3.075005454448499,0.0246965257429887,1,0,0
Male,0,1,1,27,1,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,1,Credit card (automatic),85.2,2151.6,0,25-48,7.674431692830198,4.456670177669648,0.03958004273901329,4,0,1
Female,0,1,1,56,1,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,1,Credit card (automatic),99.8,5515.45,0,49-72,8.615489816441348,4.613138355637268,0.01809134497729518,5,2,1
Female,0,0,0,6,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,20.7,112.75,0,0-12,4.7340030578310595,3.077312260546414,0.18197802197802196,1,0,0
Male,0,0,0,3,1,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,74.4,229.55,1,0-12,5.440467758652715,4.32280727501391,0.32270657124268054,2,0,0
Female,0,1,1,7,1,No,DSL,Yes,No,No,No,No,No,Month-to-month,0,Mailed check,50.7,350.35,0,0-12,5.861782877638206,3.9454577815143836,0.14430055500213462,2,0,0
Female,0,1,1,4,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,20.85,62.9,0,0-12,4.157319361383489,3.084200921541599,0.3262910798122066,1,0,0
Male,0,0,0,33,1,No,Fiber optic,Yes,No,No,Yes,Yes,No,Two year,1,Electronic check,88.95,3027.65,0,25-48,8.015872254664492,4.499253960396542,0.029369521073745727,4,1,0
Female,1,0,0,27,1,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,1,Electronic check,78.05,2135.5,1,25-48,7.66692425508408,4.370080563655481,0.03653171074186754,3,0,0
Male,0,1,0,72,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Bank transfer (automatic),23.55,1723.95,0,49-72,7.452953343538126,3.2007118542405295,0.013652569639699701,2,0,1
Male,0,0,0,1,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,19.75,19.75,0,0-12,3.0325462466767075,3.0325462466767075,0.9518072289156626,1,0,0
Male,1,0,0,71,0,No phone service,DSL,Yes,Yes,No,No,Yes,Yes,One year,1,Electronic check,56.45,3985.35,0,49-72,8.290631304243542,4.050915004294764,0.014160823811255913,4,2,0
Female,0,0,0,13,1,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,1,Electronic check,85.95,1215.65,0,13-24,7.103856459184463,4.465333240800292,0.07064480335347059,3,1,0
Female,0,1,1,25,0,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,1,Credit card (automatic),58.6,1502.65,1,25-48,7.315650764662011,4.087655574071304,0.03897183520101087,5,2,1
Male,0,0,0,67,1,No,DSL,No,No,No,Yes,No,No,Two year,0,Bank transfer (automatic),50.55,3260.1,0,49-72,8.089819840759192,3.942552210462969,0.015500904602741407,2,0,1
